"age_group","Sex_B01ID","mMETs","IndividualID","sum_MMETh","total_mmet"
" 65 - 69 ",1,2.5,2012004982,0,2.5
" 21 - 25 ",1,15.99,2012004983,9.6,25.59
" 30 - 39 ",2,0,2012004985,0,0
" 21 - 25 ",2,7.5,2012004986,0,7.5
" 21 - 25 ",1,50.91,2012004987,9.6,60.51
" 21 - 25 ",1,0,2012004988,6.72,6.72
" 21 - 25 ",1,27,2012004989,5.28,32.28
" 26 - 29 ",1,18.54,2012004990,0,18.54
" 26 - 29 ",2,3.75,2012004991,0,3.75
" 40 - 49 ",1,0,2012004992,30.36,30.36
" 21 - 25 ",2,17.5,2012004996,11.7,29.2
" 21 - 25 ",1,38.5,2012004997,11.7,50.2
" 21 - 25 ",2,0,2012004998,11.52,11.52
" 30 - 39 ",1,7.37,2012004999,0,7.37
" 30 - 39 ",2,0,2012005000,0,0
" 40 - 49 ",1,0,2012005001,10.52,10.52
" 30 - 39 ",2,0,2012005002,6.72,6.72
" 26 - 29 ",2,5,2012005003,0,5
" 26 - 29 ",1,31.37,2012005004,1.8,33.17
" 21 - 25 ",1,18.54,2012005005,5.04,23.58
" 30 - 39 ",2,0,2012005006,0,0
" 30 - 39 ",1,0,2012005007,14.4,14.4
" 80 - 84 ",1,0,2012005008,2.7,2.7
" 75 - 79 ",2,0,2012005009,2.7,2.7
" 50 - 59 ",1,7.87,2012005010,3,10.87
" 40 - 49 ",2,85.83,2012005011,0,85.83
" 40 - 49 ",2,3.37,2012005015,0,3.37
" 21 - 25 ",2,17.5,2012005016,2.7,20.2
" 40 - 49 ",1,0,2012005021,0,0
" 30 - 39 ",2,0,2012005022,0,0
" 50 - 59 ",2,24,2012005023,0,24
" 50 - 59 ",1,0,2012005024,0,0
" 70 - 74 ",2,0,2012005025,0,0
" 85  +",1,6.66,2012005026,0,6.66
" 30 - 39 ",1,46.5,2012005027,28.8,75.3
" 30 - 39 ",2,0,2012005028,28.8,28.8
" 21 - 25 ",2,12.83,2012005033,19.2,32.03
" 26 - 29 ",1,11.96,2012005034,5.1,17.06
" 30 - 39 ",1,23.83,2012005037,0,23.83
" 30 - 39 ",2,74.5,2012005038,0.84,75.34
" 60 - 64 ",2,3.75,2012005039,33.65,37.4
" 60 - 64 ",1,1.04,2012005040,0,1.04
" 21 - 25 ",2,3.75,2012005041,4.2,7.95
"19",1,0,2012005042,13.5,13.5
" 30 - 39 ",2,0,2012005043,16.84,16.84
" 30 - 39 ",2,0,2012005045,24,24
" 30 - 39 ",1,0.43,2012005046,5.76,6.19
" 75 - 79 ",2,0,2012005050,0,0
" 40 - 49 ",2,0,2012005051,21,21
" 50 - 59 ",1,0,2012005052,0,0
" 26 - 29 ",2,0,2012005054,3.6,3.6
" 40 - 49 ",1,0,2012005055,4.51,4.51
" 30 - 39 ",2,7.5,2012005057,0,7.5
" 50 - 59 ",2,0,2012005061,0,0
" 60 - 64 ",1,11.25,2012005062,0,11.25
" 50 - 59 ",1,13.75,2012005063,0,13.75
" 40 - 49 ",1,0,2012005064,19.82,19.82
" 30 - 39 ",2,5.74,2012005065,17.1,22.84
" 40 - 49 ",2,0,2012005066,8.1,8.1
" 40 - 49 ",1,0,2012005067,9.6,9.6
" 21 - 25 ",2,0.62,2012005068,0,0.62
" 65 - 69 ",1,8.75,2012005070,3.84,12.59
" 85  +",2,0,2012005071,0,0
" 50 - 59 ",1,6.12,2012005072,0,6.12
" 50 - 59 ",2,0,2012005073,0,0
" 30 - 39 ",2,0,2012005075,1.92,1.92
" 30 - 39 ",2,0,2012005076,2.4,2.4
" 50 - 59 ",2,0,2012005077,0,0
" 65 - 69 ",1,0,2012005078,19.2,19.2
" 21 - 25 ",1,5.25,2012005079,0,5.25
" 21 - 25 ",1,13.39,2012005080,0,13.39
" 40 - 49 ",2,30.58,2012005082,0,30.58
" 40 - 49 ",1,10.93,2012005084,9.6,20.53
" 50 - 59 ",2,8.5,2012005088,0,8.5
" 65 - 69 ",1,14.9,2012005090,0,14.9
" 21 - 25 ",2,0,2012005091,0,0
" 21 - 25 ",2,3.95,2012005092,3,6.95
" 60 - 64 ",1,0,2012005093,0,0
"20",1,43.41,2012005094,1.8,45.21
" 50 - 59 ",2,0,2012005095,0,0
" 65 - 69 ",2,12.5,2012005096,0,12.5
" 70 - 74 ",1,0,2012005097,0,0
" 50 - 59 ",2,11.25,2012005098,0,11.25
" 70 - 74 ",2,0,2012005099,0,0
" 65 - 69 ",2,0,2012005105,18.86,18.86
" 70 - 74 ",1,12.62,2012005106,16.53,29.15
" 65 - 69 ",1,0,2012005107,16,16
" 60 - 64 ",2,5.25,2012005108,14.4,19.65
" 60 - 64 ",1,0,2012005109,0,0
" 75 - 79 ",2,0,2012005110,24.6,24.6
" 40 - 49 ",2,0,2012005111,6.72,6.72
" 40 - 49 ",1,0,2012005112,14.4,14.4
" 75 - 79 ",2,17.58,2012005114,0,17.58
" 40 - 49 ",1,9.62,2012005116,9.6,19.22
" 40 - 49 ",2,1.67e-09,2012005117,12,12.00000000167
" 40 - 49 ",1,54.5,2012005118,4.5,59
" 75 - 79 ",2,0,2012005120,0,0
" 50 - 59 ",2,0,2012005121,0,0
" 60 - 64 ",1,1.75,2012005122,0,1.75
" 80 - 84 ",2,0,2012005123,0,0
" 50 - 59 ",1,0,2012005124,8.42,8.42
" 40 - 49 ",1,3.5,2012005125,1.8,5.3
" 80 - 84 ",1,0,2012005126,4.8,4.8
" 70 - 74 ",2,0,2012005127,0,0
" 60 - 64 ",1,0,2012005128,4.8,4.8
" 60 - 64 ",2,7,2012005129,0,7
" 30 - 39 ",1,1.45,2012005130,0,1.45
" 40 - 49 ",2,11,2012005131,0,11
" 40 - 49 ",2,10,2012005135,5.04,15.04
" 40 - 49 ",1,0.31,2012005136,0,0.31
"19",1,0,2012005137,0,0
" 50 - 59 ",2,0,2012005138,0,0
" 40 - 49 ",2,0,2012005141,10.8,10.8
" 40 - 49 ",1,24.87,2012005142,2.4,27.27
" 75 - 79 ",2,0,2012005146,3.6,3.6
" 75 - 79 ",1,0.83,2012005147,3.6,4.43
" 30 - 39 ",2,6.25,2012005148,0,6.25
" 60 - 64 ",2,0,2012005152,0,0
" 60 - 64 ",1,15.75,2012005153,0,15.75
" 21 - 25 ",1,34.25,2012005154,9.3,43.55
" 40 - 49 ",2,12.18,2012005155,4.8,16.98
" 40 - 49 ",1,0,2012005158,0,0
" 40 - 49 ",2,0,2012005159,14.4,14.4
" 85  +",1,8.16,2012005160,0,8.16
" 50 - 59 ",1,0,2012005161,0,0
" 50 - 59 ",2,5,2012005162,0,5
" 21 - 25 ",2,3,2012005163,0,3
" 21 - 25 ",1,4.66,2012005164,0,4.66
" 40 - 49 ",2,18.33,2012005165,4.5,22.83
" 75 - 79 ",1,36.75,2012005166,0,36.75
" 75 - 79 ",2,0,2012005167,0,0
" 75 - 79 ",2,0,2012005168,3.6,3.6
" 75 - 79 ",1,1.75,2012005169,0,1.75
" 70 - 74 ",1,0,2012005170,0,0
" 65 - 69 ",2,0,2012005171,0,0
" 40 - 49 ",2,8.12,2012005172,0,8.12
" 85  +",2,0,2012005173,0,0
" 60 - 64 ",1,15.75,2012005174,0,15.75
" 60 - 64 ",2,0,2012005175,0,0
" 30 - 39 ",1,1.25,2012005176,27.13,28.38
" 85  +",2,0,2012005177,5.4,5.4
" 75 - 79 ",2,0,2012005178,0,0
" 40 - 49 ",1,9,2012005179,0,9
" 85  +",1,0,2012005180,0,0
" 65 - 69 ",1,2.5,2012005181,6.9,9.4
" 70 - 74 ",2,9,2012005182,7.2,16.2
" 75 - 79 ",1,0,2012005183,9.02,9.02
" 80 - 84 ",1,16.91,2012005184,14.4,31.31
" 70 - 74 ",2,0,2012005185,14.4,14.4
" 70 - 74 ",1,0,2012005186,0,0
" 70 - 74 ",2,0,2012005187,0,0
" 30 - 39 ",1,31.28,2012005188,0,31.28
" 30 - 39 ",2,10.5,2012005189,0,10.5
" 50 - 59 ",1,23.33,2012005194,3.62,26.95
" 21 - 25 ",2,0,2012005195,0,0
" 65 - 69 ",1,0,2012005196,0,0
" 60 - 64 ",2,3.5,2012005197,0,3.5
" 70 - 74 ",1,77.37,2012005198,0,77.37
" 40 - 49 ",1,0,2012005199,0,0
" 40 - 49 ",1,2.62,2012005200,0,2.62
" 30 - 39 ",2,0.83,2012005201,0,0.83
" 70 - 74 ",1,40.83,2012005204,1.17,42
" 70 - 74 ",2,1.75,2012005205,0,1.75
" 30 - 39 ",1,6.75,2012005206,0,6.75
" 26 - 29 ",2,5,2012005207,0,5
" 50 - 59 ",1,10,2012005208,0,10
" 50 - 59 ",2,0,2012005209,0,0
" 75 - 79 ",2,0,2012005210,14.4,14.4
" 30 - 39 ",1,0,2012005212,0,0
" 30 - 39 ",2,1.68,2012005213,9.3,10.98
" 26 - 29 ",1,0,2012005215,0,0
" 75 - 79 ",1,3.5,2012005216,12.74,16.24
" 60 - 64 ",2,0,2012005217,12.74,12.74
" 40 - 49 ",2,0,2012005218,0,0
" 40 - 49 ",1,20,2012005219,0,20
"20",2,52.5,2012005220,0,52.5
"18",2,0.56,2012005221,0,0.56
" 50 - 59 ",2,0,2012005223,0,0
" 30 - 39 ",2,56,2012005225,0,56
" 30 - 39 ",2,2.62,2012005227,13.22,15.84
" 40 - 49 ",1,3.93,2012005228,0,3.93
" 40 - 49 ",1,7,2012005231,5.4,12.4
" 40 - 49 ",2,0,2012005232,5.4,5.4
" 30 - 39 ",2,0,2012005233,0,0
" 30 - 39 ",1,0,2012005234,0,0
" 40 - 49 ",2,12.5,2012005235,0,12.5
" 40 - 49 ",2,22.06,2012005239,24,46.06
" 50 - 59 ",1,0,2012005240,9.6,9.6
" 70 - 74 ",1,74,2012005243,5.4,79.4
" 60 - 64 ",2,0,2012005244,4.2,4.2
" 21 - 25 ",1,0.87,2012005245,0,0.87
" 85  +",2,0,2012005246,0,0
" 50 - 59 ",1,0,2012005247,5.4,5.4
" 60 - 64 ",2,2.5,2012005248,0,2.5
" 50 - 59 ",1,1.16,2012005249,0,1.16
" 60 - 64 ",2,6.25,2012005250,0,6.25
" 65 - 69 ",2,26.25,2012005252,0,26.25
" 65 - 69 ",1,0,2012005253,3.6,3.6
" 30 - 39 ",1,0,2012005254,7.2,7.2
" 26 - 29 ",2,13.93,2012005255,2.4,16.33
" 30 - 39 ",1,9.93,2012005259,2.26,12.19
" 26 - 29 ",2,0,2012005260,0,0
" 60 - 64 ",2,13.75,2012005261,0,13.75
" 65 - 69 ",1,13.12,2012005262,0,13.12
" 50 - 59 ",2,9.75,2012005264,0,9.75
" 70 - 74 ",2,0,2012005265,0,0
" 75 - 79 ",1,0,2012005266,0,0
" 70 - 74 ",1,0,2012005274,0,0
" 21 - 25 ",1,79,2012005275,0,79
" 60 - 64 ",1,10.5,2012005276,8.42,18.92
" 60 - 64 ",2,6,2012005277,19.5,25.5
" 85  +",2,0,2012005278,0,0
" 65 - 69 ",2,0,2012005280,0,0
" 60 - 64 ",1,0,2012005281,0,0
" 70 - 74 ",1,12.25,2012005286,30.68,42.93
" 50 - 59 ",2,0,2012005289,8.22,8.22
" 50 - 59 ",1,7.14,2012005290,31.22,38.36
" 26 - 29 ",2,18.62,2012005295,1.2,19.82
" 30 - 39 ",2,23.06,2012005296,0,23.06
" 30 - 39 ",1,11.66,2012005297,0,11.66
" 65 - 69 ",1,13.87,2012005298,0,13.87
" 65 - 69 ",2,9.37,2012005299,16.02,25.39
" 75 - 79 ",1,15.75,2012005300,0,15.75
" 65 - 69 ",2,0,2012005301,0,0
" 60 - 64 ",2,0,2012005302,0,0
" 65 - 69 ",1,3.5,2012005303,11.52,15.02
" 21 - 25 ",2,0,2012005304,0,0
" 65 - 69 ",1,0,2012005305,0,0
" 60 - 64 ",2,0,2012005306,0,0
" 30 - 39 ",2,4.12,2012005307,0,4.12
" 30 - 39 ",1,1.45,2012005308,13.56,15.01
" 40 - 49 ",1,18.37,2012005309,2.4,20.77
" 21 - 25 ",1,2.62,2012005310,9.6,12.22
" 21 - 25 ",2,0,2012005311,5.76,5.76
" 60 - 64 ",2,0,2012005312,0,0
"19",2,0,2012005313,12,12
"20",2,85.37,2012005314,9.6,94.97
" 60 - 64 ",1,5.25,2012005315,0,5.25
" 21 - 25 ",2,0,2012005316,16.32,16.32
" 21 - 25 ",1,12.5,2012005317,16.32,28.82
" 26 - 29 ",1,32,2012005320,21.32,53.32
" 40 - 49 ",2,7.5,2012005323,0,7.5
" 50 - 59 ",1,0,2012005324,0,0
"19",2,3,2012005325,0,3
" 50 - 59 ",2,0,2012005326,0,0
" 21 - 25 ",1,0,2012005327,13.12,13.12
" 21 - 25 ",2,0,2012005328,16.06,16.06
" 40 - 49 ",1,3.66,2012005329,3.6,7.26
" 30 - 39 ",2,0,2012005330,3.6,3.6
" 60 - 64 ",2,0,2012005332,0,0
" 30 - 39 ",1,56.7,2012005333,0,56.7
" 26 - 29 ",2,10.43,2012005334,0,10.43
" 30 - 39 ",2,0,2012005335,0,0
" 70 - 74 ",2,0,2012005337,0,0
" 40 - 49 ",2,0,2012005338,2.4,2.4
" 26 - 29 ",2,18.25,2012005339,0,18.25
" 40 - 49 ",2,157.5,2012005340,0,157.5
" 50 - 59 ",1,0,2012005341,0,0
"20",2,3.75,2012005342,1.8,5.55
"18",1,6.66,2012005343,3.6,10.26
" 85  +",1,0,2012005345,0,0
" 21 - 25 ",2,0.83,2012005346,8.1,8.93
" 50 - 59 ",1,0,2012005348,0,0
" 50 - 59 ",2,8.16,2012005349,2.7,10.86
"19",2,0,2012005351,7.2,7.2
" 65 - 69 ",2,0,2012005356,16.2,16.2
" 21 - 25 ",1,13.39,2012005357,24.3,37.69
" 21 - 25 ",2,0,2012005358,29.1,29.1
" 50 - 59 ",2,1.31,2012005359,8.4,9.71
" 40 - 49 ",1,2.12,2012005360,3.6,5.72
" 50 - 59 ",2,518.58,2012005361,1.8,520.38
" 50 - 59 ",1,28.45,2012005362,0,28.45
" 21 - 25 ",1,23.5,2012005363,6,29.5
" 60 - 64 ",1,0,2012005364,4.2,4.2
" 75 - 79 ",2,16.33,2012005365,0,16.33
" 40 - 49 ",1,9.62,2012005366,0,9.62
" 40 - 49 ",2,0,2012005367,7.2,7.2
" 65 - 69 ",1,0,2012005368,0,0
" 60 - 64 ",2,0,2012005369,0,0
" 30 - 39 ",1,0,2012005370,0,0
" 40 - 49 ",1,1.75,2012005371,0,1.75
" 40 - 49 ",2,0,2012005372,0,0
" 26 - 29 ",1,40.47,2012005376,0,40.47
" 30 - 39 ",2,20,2012005377,0,20
"20",1,6.66,2012005378,0,6.66
" 50 - 59 ",1,29,2012005380,0,29
" 26 - 29 ",2,0,2012005381,0,0
" 65 - 69 ",2,4.66,2012005383,5.05,9.71
" 65 - 69 ",1,0,2012005384,0,0
" 30 - 39 ",1,19.5,2012005388,3.9,23.4
" 30 - 39 ",2,20.41,2012005389,4.8,25.21
" 30 - 39 ",2,0,2012005392,9.6,9.6
" 30 - 39 ",1,0,2012005393,14.48,14.48
" 50 - 59 ",2,6,2012005395,0,6
" 75 - 79 ",2,0,2012005396,0,0
" 30 - 39 ",1,42.25,2012005397,0,42.25
" 26 - 29 ",2,0.87,2012005398,0,0.87
" 40 - 49 ",1,11.37,2012005401,0,11.37
" 50 - 59 ",2,0,2012005402,0,0
" 50 - 59 ",1,4.37,2012005403,0,4.37
" 50 - 59 ",1,6.12,2012005404,0,6.12
" 40 - 49 ",2,9.12,2012005405,0,9.12
" 50 - 59 ",2,2.91,2012005406,18.6,21.51
" 40 - 49 ",1,24.5,2012005407,27.06,51.56
" 40 - 49 ",2,157.5,2012005408,0,157.5
" 40 - 49 ",1,56,2012005409,0,56
" 50 - 59 ",1,4.16,2012005410,18.1,22.26
" 50 - 59 ",2,16.22,2012005411,0,16.22
" 70 - 74 ",2,6.25,2012005413,0,6.25
" 65 - 69 ",1,3.75,2012005414,4.8,8.55
" 60 - 64 ",2,0,2012005415,4.8,4.8
" 50 - 59 ",1,0,2012005416,7.2,7.2
" 21 - 25 ",1,0,2012005417,23.44,23.44
" 30 - 39 ",2,5,2012005418,14.44,19.44
" 70 - 74 ",1,0,2012005420,0,0
" 65 - 69 ",2,0,2012005421,11.1,11.1
" 21 - 25 ",2,0,2012005422,4.8,4.8
" 50 - 59 ",2,8.75,2012005423,0,8.75
" 65 - 69 ",2,5,2012005434,3.3,8.3
" 70 - 74 ",2,6.25,2012005435,0,6.25
" 80 - 84 ",1,0,2012005436,0,0
" 80 - 84 ",2,0,2012005437,0,0
" 80 - 84 ",1,0,2012005438,0,0
" 40 - 49 ",2,0,2012005439,0,0
"18",1,0,2012005440,1.8,1.8
" 50 - 59 ",1,0,2012005441,0,0
" 40 - 49 ",2,0,2012005442,0,0
"20",2,0,2012005443,2.4,2.4
"19",2,1.67e-09,2012005444,0,1.67e-09
" 80 - 84 ",2,0,2012005446,3.9,3.9
" 80 - 84 ",2,0,2012005447,3,3
" 60 - 64 ",2,1.25,2012005450,0,1.25
" 60 - 64 ",1,0,2012005451,0,0
" 30 - 39 ",1,0,2012005452,0,0
" 40 - 49 ",2,7,2012005453,3,10
" 50 - 59 ",2,0.62,2012005454,1.8,2.42
" 50 - 59 ",1,0,2012005455,0,0
"20",2,0,2012005456,0,0
" 70 - 74 ",1,0,2012005457,0,0
" 70 - 74 ",2,0,2012005458,12.96,12.96
" 30 - 39 ",2,14,2012005459,0,14
" 30 - 39 ",1,23.66,2012005460,11.1,34.76
" 50 - 59 ",1,0,2012005463,0,0
" 30 - 39 ",2,0,2012005464,12.62,12.62
" 60 - 64 ",1,10.5,2012005465,8.4,18.9
" 50 - 59 ",2,7.93,2012005466,15.6,23.53
" 75 - 79 ",2,0,2012005467,0,0
" 60 - 64 ",1,0,2012005468,0,0
" 40 - 49 ",2,0,2012005469,0,0
"20",1,0,2012005471,10.8,10.8
" 60 - 64 ",1,17.93,2012005472,35.1,53.03
" 60 - 64 ",2,1.7,2012005473,35.1,36.8
" 60 - 64 ",2,0,2012005474,19.2,19.2
" 70 - 74 ",1,0,2012005475,16.8,16.8
" 70 - 74 ",2,0,2012005476,0,0
" 21 - 25 ",2,4.5,2012005477,3.78,8.28
" 21 - 25 ",1,18.64,2012005478,7.8,26.44
" 50 - 59 ",2,0,2012005481,0,0
" 21 - 25 ",2,16.33,2012005482,14.4,30.73
" 30 - 39 ",1,0,2012005484,0,0
" 26 - 29 ",2,10.37,2012005485,0,10.37
" 30 - 39 ",1,6.7,2012005486,0,6.7
" 80 - 84 ",2,0,2012005487,0,0
" 50 - 59 ",2,31.5,2012005488,0,31.5
" 50 - 59 ",1,0,2012005489,0,0
"20",2,23.91,2012005490,0,23.91
" 70 - 74 ",2,0,2012005491,3.36,3.36
" 50 - 59 ",1,0,2012005492,0,0
" 50 - 59 ",1,7,2012005495,2.4,9.4
" 40 - 49 ",2,10.5,2012005496,0,10.5
" 75 - 79 ",2,0,2012005499,0,0
" 80 - 84 ",1,0,2012005500,0,0
" 30 - 39 ",2,12.5,2012005501,0,12.5
" 30 - 39 ",1,45,2012005502,0,45
" 60 - 64 ",1,0,2012005505,2.04,2.04
" 40 - 49 ",2,0,2012005506,0,0
" 60 - 64 ",2,0,2012005507,2.4,2.4
" 65 - 69 ",1,6.56,2012005508,19.04,25.6
" 50 - 59 ",2,0,2012005509,5.44,5.44
" 60 - 64 ",1,0.62,2012005510,14.5,15.12
" 65 - 69 ",2,0,2012005514,14.4,14.4
" 30 - 39 ",1,40.62,2012005515,0,40.62
" 65 - 69 ",1,0,2012005520,4.8,4.8
" 60 - 64 ",2,7.56,2012005521,0.9,8.46
" 80 - 84 ",1,0,2012005522,9.6,9.6
" 60 - 64 ",1,3.75,2012005523,1.56,5.31
" 50 - 59 ",2,14,2012005524,0,14
" 26 - 29 ",1,53.75,2012005525,0,53.75
" 70 - 74 ",2,0,2012005527,12.3,12.3
" 65 - 69 ",1,0,2012005528,8.7,8.7
" 85  +",2,0,2012005529,0,0
" 85  +",2,36.75,2012005530,0,36.75
" 80 - 84 ",2,0,2012005531,0,0
" 50 - 59 ",1,1.75,2012005532,5.12,6.87
" 50 - 59 ",2,5.31,2012005533,0,5.31
" 60 - 64 ",1,11.37,2012005534,0,11.37
" 60 - 64 ",2,7.5,2012005535,2.7,10.2
" 30 - 39 ",1,1.5,2012005536,2.72,4.22
" 85  +",2,0,2012005537,0,0
" 65 - 69 ",2,26.25,2012005538,38.4,64.65
" 50 - 59 ",2,25,2012005541,0,25
" 50 - 59 ",1,0,2012005542,16.64,16.64
" 50 - 59 ",1,6.08,2012005543,0,6.08
" 40 - 49 ",2,0,2012005544,3.6,3.6
"20",1,12.5,2012005545,13.62,26.12
" 21 - 25 ",2,2.08,2012005546,24.62,26.7
" 70 - 74 ",2,3.75,2012005547,0,3.75
" 40 - 49 ",2,0,2012005548,0,0
" 26 - 29 ",2,3,2012005549,1.2,4.2
" 30 - 39 ",1,53.25,2012005550,13.5,66.75
" 30 - 39 ",1,21,2012005551,6.9,27.9
" 21 - 25 ",2,12.5,2012005552,0,12.5
" 26 - 29 ",1,7.5,2012005553,0,7.5
" 21 - 25 ",2,0,2012005554,3.6,3.6
" 21 - 25 ",1,0,2012005555,6.9,6.9
" 40 - 49 ",2,3.06,2012005556,0,3.06
" 40 - 49 ",1,0,2012005557,0,0
" 40 - 49 ",2,9.5,2012005558,0,9.5
"18",2,0,2012005559,10.8,10.8
" 40 - 49 ",1,0,2012005561,10.69,10.69
" 40 - 49 ",2,0,2012005562,0,0
" 21 - 25 ",1,17.5,2012005563,0,17.5
"19",2,4.66,2012005564,3.6,8.26
" 50 - 59 ",1,70,2012005567,0,70
" 50 - 59 ",2,0,2012005568,0,0
" 50 - 59 ",2,0,2012005569,14.4,14.4
" 50 - 59 ",1,16.91,2012005570,4.75,21.66
" 60 - 64 ",1,0,2012005571,12.66,12.66
" 50 - 59 ",2,4.37,2012005572,0,4.37
" 30 - 39 ",1,5,2012005573,0,5
" 30 - 39 ",2,7.5,2012005574,0,7.5
" 50 - 59 ",1,0,2012005576,23.94,23.94
" 65 - 69 ",2,10,2012005577,5.4,15.4
" 21 - 25 ",1,44,2012005578,0,44
" 50 - 59 ",2,0,2012005579,0,0
" 50 - 59 ",1,1.75,2012005580,1.8,3.55
" 30 - 39 ",2,0,2012005581,0,0
" 75 - 79 ",2,0,2012005583,0,0
" 30 - 39 ",1,5.62,2012005584,33.9,39.52
" 40 - 49 ",1,0,2012005585,14.4,14.4
" 26 - 29 ",2,2.5,2012005586,3.61,6.11
" 26 - 29 ",1,5,2012005587,3.61,8.61
" 30 - 39 ",2,0,2012005588,0,0
" 30 - 39 ",1,0,2012005589,0,0
" 40 - 49 ",2,4.83,2012005591,0,4.83
"18",2,0,2012005592,0,0
" 26 - 29 ",1,1.75,2012005595,3.35,5.1
" 26 - 29 ",2,0,2012005596,0,0
" 40 - 49 ",1,11.25,2012005597,0,11.25
" 50 - 59 ",2,0,2012005598,0,0
" 21 - 25 ",1,23.33,2012005599,0,23.33
" 60 - 64 ",1,17.5,2012005600,0,17.5
" 30 - 39 ",2,80.58,2012005601,1.8,82.38
" 30 - 39 ",1,0,2012005602,0,0
" 70 - 74 ",2,0,2012005606,24.72,24.72
" 40 - 49 ",2,0,2012005607,18.08,18.08
" 30 - 39 ",2,0,2012005608,21.55,21.55
" 80 - 84 ",1,0,2012005609,26.1,26.1
" 65 - 69 ",2,15.75,2012005610,0,15.75
" 70 - 74 ",1,0,2012005611,0,0
" 30 - 39 ",2,5.25,2012005612,0,5.25
" 30 - 39 ",1,29,2012005613,0,29
" 60 - 64 ",1,0,2012005616,1.8,1.8
" 21 - 25 ",2,0,2012005617,27.12,27.12
" 26 - 29 ",1,0,2012005618,23.52,23.52
" 70 - 74 ",2,5.43,2012005623,32.1,37.53
" 75 - 79 ",1,0,2012005624,0,0
" 30 - 39 ",1,35.87,2012005628,0,35.87
" 26 - 29 ",2,47.54,2012005629,0,47.54
" 80 - 84 ",2,0,2012005630,0,0
" 80 - 84 ",1,0,2012005631,0,0
" 65 - 69 ",2,5.75,2012005636,4.5,10.25
" 40 - 49 ",1,0,2012005637,42.72,42.72
" 75 - 79 ",2,1.25,2012005638,5.28,6.53
" 26 - 29 ",2,0,2012005641,5.28,5.28
" 26 - 29 ",1,6.75,2012005642,0,6.75
" 65 - 69 ",1,8.75,2012005644,14.4,23.15
" 65 - 69 ",2,0,2012005645,14.4,14.4
" 80 - 84 ",2,0,2012005646,5.4,5.4
" 75 - 79 ",1,0,2012005647,5.4,5.4
" 75 - 79 ",2,1.75,2012005649,0,1.75
" 75 - 79 ",1,0,2012005650,0,0
" 75 - 79 ",1,36.75,2012005651,0,36.75
" 30 - 39 ",2,76.75,2012005652,3.42,80.17
" 30 - 39 ",1,7,2012005653,3.42,10.42
" 50 - 59 ",2,0,2012005656,52.85,52.85
" 40 - 49 ",1,0,2012005657,14.4,14.4
" 21 - 25 ",2,6.12,2012005660,6.9,13.02
" 60 - 64 ",1,30.18,2012005661,0,30.18
" 50 - 59 ",2,0,2012005662,0,0
" 50 - 59 ",2,0,2012005663,0,0
" 60 - 64 ",2,0,2012005664,0,0
" 30 - 39 ",2,1.12,2012005665,0,1.12
" 40 - 49 ",1,10.16,2012005666,0,10.16
" 26 - 29 ",2,45.45,2012005668,28.84,74.29
" 26 - 29 ",1,13.5,2012005669,12,25.5
" 65 - 69 ",2,0,2012005672,0,0
" 65 - 69 ",1,0,2012005673,0,0
" 60 - 64 ",2,42,2012005674,0,42
" 65 - 69 ",1,0,2012005675,1.8,1.8
" 30 - 39 ",1,0,2012005676,0,0
" 30 - 39 ",2,0,2012005677,3,3
" 50 - 59 ",2,0,2012005678,9.6,9.6
" 21 - 25 ",2,40.25,2012005679,0,40.25
" 26 - 29 ",1,5,2012005680,0,5
" 30 - 39 ",1,30.87,2012005683,14.4,45.27
" 30 - 39 ",2,0,2012005684,7.22,7.22
" 50 - 59 ",2,0,2012005686,0,0
" 75 - 79 ",1,0,2012005687,0,0
" 40 - 49 ",2,5.25,2012005690,0,5.25
" 21 - 25 ",1,18,2012005691,0,18
" 60 - 64 ",1,15.75,2012005692,0,15.75
" 65 - 69 ",2,13.5,2012005693,0,13.5
" 80 - 84 ",2,0,2012005694,0,0
" 85  +",1,7,2012005695,2.4,9.4
" 75 - 79 ",2,4.5,2012005696,20.7,25.2
" 70 - 74 ",2,3.75,2012005697,0,3.75
" 70 - 74 ",1,0,2012005698,4.8,4.8
" 40 - 49 ",1,0,2012005699,19.2,19.2
" 40 - 49 ",2,0,2012005700,4.8,4.8
" 40 - 49 ",2,6.25,2012005704,0,6.25
" 50 - 59 ",2,4.37,2012005705,0,4.37
" 50 - 59 ",1,0,2012005706,0,0
" 40 - 49 ",2,0,2012005707,9.6,9.6
" 40 - 49 ",1,0,2012005708,0,0
"18",1,16.66,2012005709,0,16.66
" 30 - 39 ",2,0,2012005710,0,0
" 30 - 39 ",1,0.62,2012005711,0,0.62
" 50 - 59 ",1,16.33,2012005716,20.1,36.43
" 21 - 25 ",2,0,2012005717,22.8,22.8
"20",2,0,2012005718,27,27
" 30 - 39 ",2,0,2012005719,0,0
" 26 - 29 ",1,37.5,2012005720,0,37.5
" 50 - 59 ",1,0,2012005721,21.16,21.16
" 60 - 64 ",2,0,2012005723,4.8,4.8
" 30 - 39 ",2,35.75,2012005727,21.26,57.01
" 26 - 29 ",1,0,2012005728,20.24,20.24
" 21 - 25 ",2,0,2012005729,19.2,19.2
" 21 - 25 ",1,0,2012005730,0,0
" 26 - 29 ",1,30.75,2012005731,9.6,40.35
" 26 - 29 ",1,0,2012005732,13.5,13.5
" 21 - 25 ",1,11.66,2012005733,9.52,21.18
