"age_group","Sex_B01ID","mMETs","IndividualID","sum_MMETh","total_mmet"
" 50 - 59 ",2,5.5,2012000174,0,5.5
" 60 - 64 ",1,22.87,2012000175,0,22.87
" 50 - 59 ",1,21,2012000176,0,21
" 50 - 59 ",2,7.5,2012000177,0,7.5
" 65 - 69 ",1,0,2012000178,0,0
" 65 - 69 ",2,12.31,2012000179,9.6,21.91
" 50 - 59 ",1,0,2012000180,0,0
" 60 - 64 ",2,13.75,2012000181,7.2,20.95
" 30 - 39 ",1,32.33,2012000184,14.4,46.73
" 30 - 39 ",2,0,2012000185,52.2599999999999,52.2599999999999
" 30 - 39 ",1,51.75,2012000188,11.16,62.91
" 30 - 39 ",2,5,2012000189,26.03,31.03
" 40 - 49 ",2,0,2012000190,0,0
"20",1,3.31,2012000191,0,3.31
" 70 - 74 ",1,0,2012000193,0,0
" 65 - 69 ",2,10,2012000194,4.8,14.8
" 21 - 25 ",1,61.87,2012000195,0,61.87
" 21 - 25 ",2,5.87,2012000196,0,5.87
" 85  +",2,0,2012000199,0,0
" 50 - 59 ",2,32.75,2012000200,0,32.75
"18",1,0,2012000201,0,0
" 40 - 49 ",2,0,2012000202,21,21
" 50 - 59 ",1,7,2012000203,0,7
" 50 - 59 ",2,8.5,2012000204,0,8.5
"20",1,16.62,2012000205,0,16.62
" 30 - 39 ",1,0,2012000206,22.51,22.51
" 26 - 29 ",2,2.8,2012000207,40.2,43
" 50 - 59 ",2,0,2012000210,0,0
" 26 - 29 ",2,0,2012000211,0,0
" 40 - 49 ",2,17.25,2012000212,3.9,21.15
" 40 - 49 ",1,20.43,2012000213,0,20.43
" 40 - 49 ",1,0,2012000214,0,0
" 40 - 49 ",2,8.75,2012000215,3.6,12.35
"19",2,0.56,2012000216,4.8,5.36
" 65 - 69 ",1,24.06,2012000218,9.6,33.66
" 65 - 69 ",2,0,2012000219,0,0
" 50 - 59 ",2,0,2012000223,15.6,15.6
"20",1,0,2012000224,0,0
" 50 - 59 ",2,7.41,2012000225,0,7.41
" 50 - 59 ",1,2.62,2012000226,0,2.62
" 26 - 29 ",1,49.83,2012000227,0,49.83
" 50 - 59 ",2,0,2012000229,0,0
" 50 - 59 ",1,0,2012000230,0,0
"19",1,49.5,2012000231,6.3,55.8
"19",1,21.5,2012000232,0,21.5
" 65 - 69 ",2,46.5,2012000240,0,46.5
