Variable name,Variable Description
local_id,Local id for each segment of the network (NB IDs duplicated across different route network files)
bicycle,No. between-zone cyclists using this segment in Census 2011 (see region statistics tab for details of selected between-zone flows)
govequity_slc,No. between-zone cyclists using this segment in Government Target (equity) scenario (see region statistics tab for details of selected between-zone flows)
dutch_slc,No. between-zone cyclists using this segment in Go Dutch scenario (see region statistics tab for details of selected between-zone flows)
